Point Id,,,,,,Easting,Northing,Elevation
DEFAULT25,,,,,,,,
1,,,,,,2.1675,-1.3387,3.4362
2,,,,,,2.4865,0.5788,3.4766
3,,,,,,2.737,3.5852,3.5085
4,,,,,,-0.1678,-1.5683,-0.0156
5,,,,,,-0.375,-1.5871,-0.0195
6,,,,,,0.5262,1.2379,-0.0131
7,,,,,,0.092,3.3518,1.059
8,,,,,,0.1022,3.3643,0.6572
9,,,,,,0.8004,3.4395,0.6567
10,,,,,,-0.5351,3.2514,3.4842
11,,,,,,-0.5358,3.2561,2.3562
12,,,,,,-0.5382,3.2711,0.9336
13,,,,,,-0.5413,3.2906,0.071
14,,,,,,0.076,3.3141,3.1476
15,,,,,,0.0761,3.3175,1.9569
16,,,,,,0.8415,3.3919,3.2972
17,,,,,,0.8462,3.4105,1.7814
18,,,,,,0.858,3.4579,0.0761
19,,,,,,1.5613,3.4706,3.0545
20,,,,,,1.5703,3.4908,1.6429
21,,,,,,1.4269,3.4942,0.813
22,,,,,,2.358,3.5526,3.3717
23,,,,,,2.3632,3.5605,2.6074
24,,,,,,1.9696,3.5315,1.71
25,,,,,,2.6835,2.8344,3.4153
26,,,,,,2.3573,1.1888,3.1107
27,,,,,,1.9219,1.2084,2.303
28,,,,,,1.2911,1.1544,1.1619
29,,,,,,0.8461,1.0879,0.4731
30,,,,,,0.5845,1.1001,0.1038
31,,,,,,0.0085,-2.1927,1.0848
32,,,,,,-0.0027,-2.2049,0.6829
33,,,,,,-0.7045,-2.2533,0.6806
34,,,,,,0.8032,-2.1067,3.4392
35,,,,,,0.8053,-2.1126,1.9591
36,,,,,,0.7758,-2.0351,0.7002
37,,,,,,0.8143,-2.1361,0.1256
38,,,,,,0.0165,-2.1584,3.1969
39,,,,,,0.0165,-2.1659,1.6577
40,,,,,,-0.6671,-2.2031,3.3703
41,,,,,,-0.6698,-2.2123,2.3686
42,,,,,,-0.6757,-2.2314,1.3623
43,,,,,,-1.5989,-2.2705,3.25
44,,,,,,-1.6041,-2.2779,2.5451
45,,,,,,-1.5241,-2.2862,1.5819
46,,,,,,-1.3398,-2.2927,0.7325
47,,,,,,-2.1459,-2.3093,3.4281
48,,,,,,-2.1512,-2.3153,2.5994
49,,,,,,-1.9329,-2.3084,1.8792
50,,,,,,-2.5222,-2.3371,3.4481
51,,,,,,-2.6208,-2.1327,3.4587
52,,,,,,-2.2659,-2.2197,2.4929
53,,,,,,-1.858,-2.2011,1.5469
54,,,,,,-1.4427,-2.1592,0.777
55,,,,,,-0.9949,-2.1863,0.0486
56,,,,,,-2.5505,-1.4731,3.439
57,,,,,,-1.9595,-1.3378,2.1478
58,,,,,,-1.4586,-1.3802,1.1013
59,,,,,,-0.9409,-1.3203,0.2691
60,,,,,,-2.3416,-0.6345,3.2318
61,,,,,,-1.8286,-0.5845,2.2399
62,,,,,,-1.3004,-0.619,1.1903
63,,,,,,-0.7256,-0.7197,0.2213
64,,,,,,-2.3096,0.1732,3.3934
65,,,,,,-1.663,0.1248,2.2248
66,,,,,,-1.0656,0.1928,1.1504
67,,,,,,-0.5748,0.366,0.458
68,,,,,,-2.186,0.8804,3.3837
